,YearStart,LocationAbbr,LocationDesc,Question,Data_Value,Data_Value_Alt,Sample_Size,Total,Age(years),Education,Gender,Income,Race/Ethnicity,GeoLocation,LocationID,StratificationCategory1,Stratification1
46318,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,37.9,37.9,944.0,,55 - 64,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),55 - 64
46319,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,24.4,24.4,1560.0,,,College graduate,,,,"(32.83968109300048, -83.62758034599966)",13,Education,College graduate
46320,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,32.4,32.4,1130.0,,,High school graduate,,,,"(32.83968109300048, -83.62758034599966)",13,Education,High school graduate
46321,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,33.0,33.0,1109.0,,,Some college or technical school,,,,"(32.83968109300048, -83.62758034599966)",13,Education,Some college or technical school
46322,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,33.6,33.6,460.0,,,Less than high school,,,,"(32.83968109300048, -83.62758034599966)",13,Education,Less than high school
46323,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,29.1,29.1,1752.0,,,,Male,,,"(32.83968109300048, -83.62758034599966)",13,Gender,Male
46324,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,32.3,32.3,2517.0,,,,Female,,,"(32.83968109300048, -83.62758034599966)",13,Gender,Female
46325,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,24.6,24.6,1041.0,,,,,"$75,000 or greater",,"(32.83968109300048, -83.62758034599966)",13,Income,"$75,000 or greater"
46326,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,24.8,24.8,693.0,,,,,Data not reported,,"(32.83968109300048, -83.62758034599966)",13,Income,Data not reported
46327,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,30.8,30.8,396.0,,,,,"$25,000 - $34,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$25,000 - $34,999"
46328,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,33.2,33.2,536.0,,,,,"$50,000 - $74,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$50,000 - $74,999"
46329,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,33.8,33.8,481.0,,,,,"$35,000 - $49,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$35,000 - $49,999"
46330,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,36.2,36.2,429.0,,,,,"Less than $15,000",,"(32.83968109300048, -83.62758034599966)",13,Income,"Less than $15,000"
46331,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,37.1,37.1,693.0,,,,,"$15,000 - $24,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$15,000 - $24,999"
46332,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,30.7,30.7,4269.0,Total,,,,,,"(32.83968109300048, -83.62758034599966)",13,Total,Total
46333,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,,,,,,,,,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,American Indian/Alaska Native
46334,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Hawaiian/Pacific Islander,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Hawaiian/Pacific Islander
46335,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Other,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Other
46336,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,5.6,5.6,63.0,,,,,,Asian,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Asian
46337,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,27.9,27.9,2860.0,,,,,,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Non-Hispanic White
46338,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,28.3,28.3,58.0,,,,,,2 or more races,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,2 or more races
46339,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,30.2,30.2,133.0,,,,,,Hispanic,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Hispanic
46340,2015,GA,Georgia,Percent of adults aged 18 years and older who have obesity,37.3,37.3,1036.0,,,,,,Non-Hispanic Black,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Non-Hispanic Black
46341,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,27.4,27.4,201.0,,18 - 24,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),18 - 24
46342,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,32.3,32.3,377.0,,25 - 34,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),25 - 34
46343,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,36.3,36.3,691.0,,45 - 54,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),45 - 54
46344,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,36.7,36.7,944.0,,55 - 64,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),55 - 64
46345,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,37.1,37.1,1572.0,,65 or older,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),65 or older
46346,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,37.4,37.4,484.0,,35 - 44,,,,,"(32.83968109300048, -83.62758034599966)",13,Age (years),35 - 44
46347,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,33.0,33.0,1109.0,,,Some college or technical school,,,,"(32.83968109300048, -83.62758034599966)",13,Education,Some college or technical school
46348,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,34.5,34.5,460.0,,,Less than high school,,,,"(32.83968109300048, -83.62758034599966)",13,Education,Less than high school
46349,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,35.3,35.3,1130.0,,,High school graduate,,,,"(32.83968109300048, -83.62758034599966)",13,Education,High school graduate
46350,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,36.7,36.7,1560.0,,,College graduate,,,,"(32.83968109300048, -83.62758034599966)",13,Education,College graduate
46351,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,27.2,27.2,2517.0,,,,Female,,,"(32.83968109300048, -83.62758034599966)",13,Gender,Female
46352,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,42.5,42.5,1752.0,,,,Male,,,"(32.83968109300048, -83.62758034599966)",13,Gender,Male
46353,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,29.0,29.0,429.0,,,,,"Less than $15,000",,"(32.83968109300048, -83.62758034599966)",13,Income,"Less than $15,000"
46354,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,31.6,31.6,693.0,,,,,Data not reported,,"(32.83968109300048, -83.62758034599966)",13,Income,Data not reported
46355,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,32.1,32.1,693.0,,,,,"$15,000 - $24,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$15,000 - $24,999"
46356,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,33.9,33.9,396.0,,,,,"$25,000 - $34,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$25,000 - $34,999"
46357,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,37.3,37.3,481.0,,,,,"$35,000 - $49,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$35,000 - $49,999"
46358,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,38.2,38.2,1041.0,,,,,"$75,000 or greater",,"(32.83968109300048, -83.62758034599966)",13,Income,"$75,000 or greater"
46359,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,38.8,38.8,536.0,,,,,"$50,000 - $74,999",,"(32.83968109300048, -83.62758034599966)",13,Income,"$50,000 - $74,999"
46360,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,34.8,34.8,4269.0,Total,,,,,,"(32.83968109300048, -83.62758034599966)",13,Total,Total
46361,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,American Indian/Alaska Native,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,American Indian/Alaska Native
46362,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Hawaiian/Pacific Islander,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Hawaiian/Pacific Islander
46363,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Other,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Other
46364,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,34.4,34.4,1036.0,,,,,,Non-Hispanic Black,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Non-Hispanic Black
46365,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,34.4,34.4,2860.0,,,,,,Non-Hispanic White,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Non-Hispanic White
46366,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,38.5,38.5,58.0,,,,,,2 or more races,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,2 or more races
46367,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,38.5,38.5,133.0,,,,,,Hispanic,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Hispanic
46368,2015,GA,Georgia,Percent of adults aged 18 years and older who have an overweight classification,38.6,38.6,63.0,,,,,,Asian,"(32.83968109300048, -83.62758034599966)",13,Race/Ethnicity,Asian
46369,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,14.1,14.1,473.0,,18 - 24,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),18 - 24
46370,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,17.9,17.9,2237.0,,65 or older,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),65 or older
46371,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,22.5,22.5,748.0,,25 - 34,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),25 - 34
46372,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,23.8,23.8,1522.0,,55 - 64,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),55 - 64
46373,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,26.5,26.5,1036.0,,45 - 54,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),45 - 54
46374,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,30.7,30.7,806.0,,35 - 44,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),35 - 44
46375,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,17.1,17.1,2822.0,,,College graduate,,,,"(21.304850435000446, -157.85774940299973)",15,Education,College graduate
46376,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,22.7,22.7,1937.0,,,Some college or technical school,,,,"(21.304850435000446, -157.85774940299973)",15,Education,Some college or technical school
46377,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,24.8,24.8,1784.0,,,High school graduate,,,,"(21.304850435000446, -157.85774940299973)",15,Education,High school graduate
46378,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,32.0,32.0,270.0,,,Less than high school,,,,"(21.304850435000446, -157.85774940299973)",15,Education,Less than high school
46379,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,19.7,19.7,3533.0,,,,Female,,,"(21.304850435000446, -157.85774940299973)",15,Gender,Female
46380,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,25.5,25.5,3289.0,,,,Male,,,"(21.304850435000446, -157.85774940299973)",15,Gender,Male
46381,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,18.8,18.8,554.0,,,,,Data not reported,,"(21.304850435000446, -157.85774940299973)",15,Income,Data not reported
46382,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,21.6,21.6,2160.0,,,,,"$75,000 or greater",,"(21.304850435000446, -157.85774940299973)",15,Income,"$75,000 or greater"
46383,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,22.3,22.3,924.0,,,,,"$15,000 - $24,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$15,000 - $24,999"
46384,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,23.3,23.3,676.0,,,,,"$25,000 - $34,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$25,000 - $34,999"
46385,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,23.7,23.7,865.0,,,,,"$35,000 - $49,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$35,000 - $49,999"
46386,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,24.7,24.7,1036.0,,,,,"$50,000 - $74,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$50,000 - $74,999"
46387,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,27.1,27.1,607.0,,,,,"Less than $15,000",,"(21.304850435000446, -157.85774940299973)",15,Income,"Less than $15,000"
46388,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,22.7,22.7,6822.0,Total,,,,,,"(21.304850435000446, -157.85774940299973)",15,Total,Total
46389,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,,,,,,,,,American Indian/Alaska Native,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,American Indian/Alaska Native
46390,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Non-Hispanic Black,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Non-Hispanic Black
46391,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Other,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Other
46392,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,16.0,16.0,2066.0,,,,,,Asian,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Asian
46393,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,17.2,17.2,2189.0,,,,,,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Non-Hispanic White
46394,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,30.3,30.3,523.0,,,,,,Hispanic,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Hispanic
46395,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,31.8,31.8,1692.0,,,,,,2 or more races,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,2 or more races
46396,2015,HI,Hawaii,Percent of adults aged 18 years and older who have obesity,55.3,55.3,224.0,,,,,,Hawaiian/Pacific Islander,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Hawaiian/Pacific Islander
46397,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,26.4,26.4,473.0,,18 - 24,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),18 - 24
46398,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,30.0,30.0,748.0,,25 - 34,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),25 - 34
46399,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,34.6,34.6,2237.0,,65 or older,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),65 or older
46400,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,35.1,35.1,806.0,,35 - 44,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),35 - 44
46401,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,38.1,38.1,1036.0,,45 - 54,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),45 - 54
46402,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,39.6,39.6,1522.0,,55 - 64,,,,,"(21.304850435000446, -157.85774940299973)",15,Age (years),55 - 64
46403,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,28.9,28.9,270.0,,,Less than high school,,,,"(21.304850435000446, -157.85774940299973)",15,Education,Less than high school
46404,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,34.0,34.0,2822.0,,,College graduate,,,,"(21.304850435000446, -157.85774940299973)",15,Education,College graduate
46405,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,35.2,35.2,1784.0,,,High school graduate,,,,"(21.304850435000446, -157.85774940299973)",15,Education,High school graduate
46406,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,35.4,35.4,1937.0,,,Some college or technical school,,,,"(21.304850435000446, -157.85774940299973)",15,Education,Some college or technical school
46407,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,28.0,28.0,3533.0,,,,Female,,,"(21.304850435000446, -157.85774940299973)",15,Gender,Female
46408,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,40.2,40.2,3289.0,,,,Male,,,"(21.304850435000446, -157.85774940299973)",15,Gender,Male
46409,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,28.1,28.1,607.0,,,,,"Less than $15,000",,"(21.304850435000446, -157.85774940299973)",15,Income,"Less than $15,000"
46410,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,31.6,31.6,924.0,,,,,"$15,000 - $24,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$15,000 - $24,999"
46411,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,31.8,31.8,1036.0,,,,,"$50,000 - $74,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$50,000 - $74,999"
46412,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,34.1,34.1,676.0,,,,,"$25,000 - $34,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$25,000 - $34,999"
46413,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,34.2,34.2,865.0,,,,,"$35,000 - $49,999",,"(21.304850435000446, -157.85774940299973)",15,Income,"$35,000 - $49,999"
46414,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,36.5,36.5,554.0,,,,,Data not reported,,"(21.304850435000446, -157.85774940299973)",15,Income,Data not reported
46415,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,37.3,37.3,2160.0,,,,,"$75,000 or greater",,"(21.304850435000446, -157.85774940299973)",15,Income,"$75,000 or greater"
46416,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,34.3,34.3,6822.0,Total,,,,,,"(21.304850435000446, -157.85774940299973)",15,Total,Total
46417,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,American Indian/Alaska Native,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,American Indian/Alaska Native
46418,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,22.5,22.5,1187.0,,,,,"$75,000 or greater",,"(43.682630005000476, -114.3637300419997)",16,Income,"$75,000 or greater"
46419,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Non-Hispanic Black,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Non-Hispanic Black
46420,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,,,,,,,,,Other,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Other
46421,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,23.9,23.9,224.0,,,,,,Hawaiian/Pacific Islander,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Hawaiian/Pacific Islander
46422,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,32.8,32.8,523.0,,,,,,Hispanic,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Hispanic
46423,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,33.9,33.9,2189.0,,,,,,Non-Hispanic White,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Non-Hispanic White
46424,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,34.4,34.4,1692.0,,,,,,2 or more races,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,2 or more races
46425,2015,HI,Hawaii,Percent of adults aged 18 years and older who have an overweight classification,35.6,35.6,2066.0,,,,,,Asian,"(21.304850435000446, -157.85774940299973)",15,Race/Ethnicity,Asian
46426,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,15.5,15.5,276.0,,18 - 24,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),18 - 24
46427,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,27.3,27.3,1990.0,,65 or older,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),65 or older
46428,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,29.0,29.0,468.0,,25 - 34,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),25 - 34
46429,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,31.2,31.2,649.0,,35 - 44,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),35 - 44
46430,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,31.9,31.9,783.0,,45 - 54,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),45 - 54
46431,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,34.6,34.6,1192.0,,55 - 64,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),55 - 64
46432,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,23.0,23.0,1737.0,,,College graduate,,,,"(43.682630005000476, -114.3637300419997)",16,Education,College graduate
46433,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,29.6,29.6,1505.0,,,High school graduate,,,,"(43.682630005000476, -114.3637300419997)",16,Education,High school graduate
46434,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,30.1,30.1,1720.0,,,Some college or technical school,,,,"(43.682630005000476, -114.3637300419997)",16,Education,Some college or technical school
46435,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,32.8,32.8,373.0,,,Less than high school,,,,"(43.682630005000476, -114.3637300419997)",16,Education,Less than high school
46436,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,27.3,27.3,2938.0,,,,Female,,,"(43.682630005000476, -114.3637300419997)",16,Gender,Female
46437,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,24.7,24.7,568.0,,,,,Data not reported,,"(43.682630005000476, -114.3637300419997)",16,Income,Data not reported
46438,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,26.8,26.8,848.0,,,,,"$50,000 - $74,999",,"(43.682630005000476, -114.3637300419997)",16,Income,"$50,000 - $74,999"
46439,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,28.7,28.7,498.0,,,,,"Less than $15,000",,"(43.682630005000476, -114.3637300419997)",16,Income,"Less than $15,000"
46440,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,30.3,30.3,670.0,,,,,"$25,000 - $34,999",,"(43.682630005000476, -114.3637300419997)",16,Income,"$25,000 - $34,999"
46441,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,34.5,34.5,788.0,,,,,"$35,000 - $49,999",,"(43.682630005000476, -114.3637300419997)",16,Income,"$35,000 - $49,999"
46442,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,35.2,35.2,799.0,,,,,"$15,000 - $24,999",,"(43.682630005000476, -114.3637300419997)",16,Income,"$15,000 - $24,999"
46443,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,28.6,28.6,5358.0,Total,,,,,,"(43.682630005000476, -114.3637300419997)",16,Total,Total
46444,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Asian,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,Asian
46445,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Hawaiian/Pacific Islander,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,Hawaiian/Pacific Islander
46446,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Non-Hispanic Black,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,Non-Hispanic Black
46447,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,,,,,,,,,Other,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,Other
46448,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,28.1,28.1,4806.0,,,,,,Non-Hispanic White,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,Non-Hispanic White
46449,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,28.9,28.9,75.0,,,,,,American Indian/Alaska Native,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,American Indian/Alaska Native
46450,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,33.1,33.1,278.0,,,,,,Hispanic,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,Hispanic
46451,2015,ID,Idaho,Percent of adults aged 18 years and older who have obesity,36.7,36.7,60.0,,,,,,2 or more races,"(43.682630005000476, -114.3637300419997)",16,Race/Ethnicity,2 or more races
46452,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,27.7,27.7,276.0,,18 - 24,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),18 - 24
46453,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,35.7,35.7,468.0,,25 - 34,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),25 - 34
46454,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,35.9,35.9,649.0,,35 - 44,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),35 - 44
46455,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,38.2,38.2,783.0,,45 - 54,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),45 - 54
46456,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,38.7,38.7,1192.0,,55 - 64,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),55 - 64
46457,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,40.8,40.8,1990.0,,65 or older,,,,,"(43.682630005000476, -114.3637300419997)",16,Age (years),65 or older
46458,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,34.4,34.4,373.0,,,Less than high school,,,,"(43.682630005000476, -114.3637300419997)",16,Education,Less than high school
46459,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,35.5,35.5,1505.0,,,High school graduate,,,,"(43.682630005000476, -114.3637300419997)",16,Education,High school graduate
46460,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,37.6,37.6,1720.0,,,Some college or technical school,,,,"(43.682630005000476, -114.3637300419997)",16,Education,Some college or technical school
46461,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,38.0,38.0,1737.0,,,College graduate,,,,"(43.682630005000476, -114.3637300419997)",16,Education,College graduate
46462,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,30.6,30.6,2938.0,,,,Female,,,"(43.682630005000476, -114.3637300419997)",16,Gender,Female
46463,2015,ID,Idaho,Percent of adults aged 18 years and older who have an overweight classification,42.1,42.1,2420.0,,,,Male,,,"(43.682630005000476, -114.3637300419997)",16,Gender,Male
